model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges,evaluation_type,training_set
tropical,shortest_path,id_new,,,,,3018020.0,30,180,6.0,15.0,0,29,,,1,18.0,17.0,0.0555555555555555,2,0,0,1,1,0.0707407658919692,0.0765549689531326,0.0019972715526819,18.0,0.0,5,5,0.0014075310900807,0.0034048026427626,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018021.0,30,180,6.0,16.0,0,29,,,1,5.0,4.0,0.2,2,0,0,1,1,0.0365067338570952,0.0458463197574019,0.0020997822284698,5.0,0.0,5,5,0.0012280913069844,0.0033278735354542,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018022.0,30,180,6.0,17.0,0,29,,,1,10.0,10.0,0.0,0,1,1,1,1,0.0533970352262258,0.059304448775947,0.0019747819751501,10.0,0.0,5,5,0.0012727016583085,0.0032474836334586,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018023.0,30,180,6.0,18.0,0,29,,,1,10.0,9.0,0.1,2,0,0,1,1,0.0395892048254609,0.0470415605232119,0.0019879806786775,10.0,0.0,5,5,0.0012931516394019,0.0032811323180794,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018024.0,30,180,6.0,19.0,0,29,,,1,9.0,9.0,0.0,2,0,0,1,1,0.0466164695098996,0.0524745937436819,0.0019940007477998,9.0,0.0,5,5,0.0012625101953744,0.0032565109431743,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,5010005.0,50,100,2.0,0.0,0,49,,,1,25.0,25.0,0.0,0,1,1,1,1,0.0246261060237884,0.0285988375544548,0.0021360609680414,25.0,0.0,5,5,0.0009988602250814,0.0031349211931228,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,5010006.0,50,100,2.0,1.0,0,49,,,1,62.0,59.0,0.0483870967741935,2,0,0,1,1,0.0233715446665883,0.0271612182259559,0.0018852408975362,59.0,0.0483870967741935,5,5,0.0010074106976389,0.0028926515951752,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,5010007.0,50,100,2.0,2.0,0,49,,,1,42.0,34.0,0.1904761904761904,2,0,0,1,1,0.0365836638957262,0.0404177261516451,0.0019068121910095,42.0,0.0,5,5,0.0010944511741399,0.0030012633651494,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,5010008.0,50,100,2.0,3.0,0,49,,,1,35.0,26.0,0.2571428571428571,2,0,0,1,1,0.0275689773261547,0.0314379297196865,0.0019166525453329,29.0,0.1714285714285714,5,5,0.0009782603010535,0.0028949128463864,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,5010009.0,50,100,2.0,4.0,0,49,,,1,54.0,51.0,0.0555555555555555,2,0,0,1,1,0.0232893750071525,0.0271716276183724,0.0018606111407279,52.0,0.037037037037037,5,5,0.000983590260148,0.002844201400876,0,2,0,id_new,onein_reps100
