
Generated 20 evaluation graphs for min_cost_flow.

Generated 40 evaluation graphs for min_cost_flow.

Generated 60 evaluation graphs for min_cost_flow.

Generated 80 evaluation graphs for min_cost_flow.

Generated 100 evaluation graphs for min_cost_flow.

Generated 120 evaluation graphs for min_cost_flow.

Generated 140 evaluation graphs for min_cost_flow.

Generated 160 evaluation graphs for min_cost_flow.

Generated 180 evaluation graphs for min_cost_flow.

Generated 200 evaluation graphs for min_cost_flow.

Generated 220 evaluation graphs for min_cost_flow.

Generated 240 evaluation graphs for min_cost_flow.

Generated 260 evaluation graphs for min_cost_flow.

Generated 280 evaluation graphs for min_cost_flow.

Generated 300 evaluation graphs for min_cost_flow.

Generated 320 evaluation graphs for min_cost_flow.

Generated 340 evaluation graphs for min_cost_flow.

Generated 360 evaluation graphs for min_cost_flow.

Generated 380 evaluation graphs for min_cost_flow.

Generated 400 evaluation graphs for min_cost_flow.

Generated 420 evaluation graphs for min_cost_flow.

Generated 440 evaluation graphs for min_cost_flow.

Generated 460 evaluation graphs for min_cost_flow.

Generated 480 evaluation graphs for min_cost_flow.

Generated 500 evaluation graphs for min_cost_flow.

Generated 520 evaluation graphs for min_cost_flow.

Generated 540 evaluation graphs for min_cost_flow.

Generated 560 evaluation graphs for min_cost_flow.

Evaluating attack limit K=1
K=1, n=100, m=500, rep=10 | Opt=410.00 | Pred=410.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=500, rep=11 | Opt=175.00 | Pred=154.00 | Gap=0.1200 | Hamming=2 | Exact=0
K=1, n=100, m=500, rep=12 | Opt=674.00 | Pred=674.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=500, rep=13 | Opt=186.00 | Pred=178.00 | Gap=0.0430 | Hamming=2 | Exact=0
K=1, n=100, m=500, rep=14 | Opt=308.00 | Pred=308.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=500, rep=15 | Opt=216.00 | Pred=197.00 | Gap=0.0880 | Hamming=2 | Exact=0
K=1, n=100, m=500, rep=16 | Opt=246.00 | Pred=229.00 | Gap=0.0691 | Hamming=2 | Exact=0
K=1, n=100, m=500, rep=17 | Opt=154.00 | Pred=154.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=500, rep=18 | Opt=247.00 | Pred=193.00 | Gap=0.2186 | Hamming=2 | Exact=0
K=1, n=100, m=500, rep=19 | Opt=253.00 | Pred=210.00 | Gap=0.1700 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=0 | Opt=423.00 | Pred=409.00 | Gap=0.0331 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=1 | Opt=441.00 | Pred=437.00 | Gap=0.0091 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=2 | Opt=409.00 | Pred=356.00 | Gap=0.1296 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=3 | Opt=320.00 | Pred=268.00 | Gap=0.1625 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=4 | Opt=74.00 | Pred=66.00 | Gap=0.1081 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=5 | Opt=631.00 | Pred=624.00 | Gap=0.0111 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=6 | Opt=366.00 | Pred=366.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=600, rep=7 | Opt=469.00 | Pred=446.00 | Gap=0.0490 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=8 | Opt=214.00 | Pred=206.00 | Gap=0.0374 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=9 | Opt=176.00 | Pred=144.00 | Gap=0.1818 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=10 | Opt=200.00 | Pred=200.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=600, rep=11 | Opt=264.00 | Pred=242.00 | Gap=0.0833 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=12 | Opt=355.00 | Pred=282.00 | Gap=0.2056 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=13 | Opt=251.00 | Pred=204.00 | Gap=0.1873 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=14 | Opt=500.00 | Pred=500.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=600, rep=15 | Opt=346.00 | Pred=318.00 | Gap=0.0809 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=16 | Opt=607.00 | Pred=607.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=600, rep=17 | Opt=422.00 | Pred=422.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=600, rep=18 | Opt=151.00 | Pred=120.00 | Gap=0.2053 | Hamming=2 | Exact=0
K=1, n=100, m=600, rep=19 | Opt=334.00 | Pred=324.00 | Gap=0.0299 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=0 | Opt=535.00 | Pred=531.00 | Gap=0.0075 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=1 | Opt=273.00 | Pred=273.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=800, rep=2 | Opt=541.00 | Pred=541.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=800, rep=3 | Opt=348.00 | Pred=343.00 | Gap=0.0144 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=4 | Opt=493.00 | Pred=482.00 | Gap=0.0223 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=5 | Opt=610.00 | Pred=536.00 | Gap=0.1213 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=6 | Opt=419.00 | Pred=341.00 | Gap=0.1862 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=7 | Opt=478.00 | Pred=398.00 | Gap=0.1674 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=8 | Opt=456.00 | Pred=456.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=800, rep=9 | Opt=459.00 | Pred=431.00 | Gap=0.0610 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=10 | Opt=351.00 | Pred=351.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=800, rep=11 | Opt=410.00 | Pred=410.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=800, rep=12 | Opt=635.00 | Pred=635.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=800, rep=13 | Opt=303.00 | Pred=293.00 | Gap=0.0330 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=14 | Opt=848.00 | Pred=812.00 | Gap=0.0425 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=15 | Opt=473.00 | Pred=473.00 | Gap=0.0000 | Hamming=0 | Exact=1
