Solved n=50, m=300, budget=1, density=6.00, rep=24, flow_demand=1, objective=40.00, mip_solve_time=0.0558
Solved n=50, m=300, budget=1, density=6.00, rep=25, flow_demand=1, objective=21.00, mip_solve_time=0.1352
Solved n=50, m=300, budget=1, density=6.00, rep=26, flow_demand=1, objective=56.00, mip_solve_time=0.0577
Solved n=50, m=300, budget=1, density=6.00, rep=27, flow_demand=1, objective=73.00, mip_solve_time=0.0547
Solved n=50, m=300, budget=1, density=6.00, rep=28, flow_demand=1, objective=32.00, mip_solve_time=0.0571
Solved n=50, m=300, budget=1, density=6.00, rep=29, flow_demand=1, objective=52.00, mip_solve_time=0.0943
Solved n=50, m=300, budget=1, density=6.00, rep=30, flow_demand=1, objective=45.00, mip_solve_time=0.0549
Solved n=50, m=300, budget=1, density=6.00, rep=31, flow_demand=1, objective=30.00, mip_solve_time=0.0577
Solved n=50, m=300, budget=1, density=6.00, rep=32, flow_demand=1, objective=38.00, mip_solve_time=0.0550
Solved n=50, m=300, budget=1, density=6.00, rep=33, flow_demand=1, objective=49.00, mip_solve_time=0.0944
Solved n=50, m=300, budget=1, density=6.00, rep=34, flow_demand=1, objective=76.00, mip_solve_time=0.0572
Solved n=50, m=300, budget=1, density=6.00, rep=35, flow_demand=1, objective=54.00, mip_solve_time=0.0554
Solved n=50, m=300, budget=1, density=6.00, rep=36, flow_demand=1, objective=27.00, mip_solve_time=0.0607
Solved n=50, m=300, budget=1, density=6.00, rep=37, flow_demand=1, objective=79.00, mip_solve_time=0.0557
Solved n=50, m=300, budget=1, density=6.00, rep=38, flow_demand=1, objective=76.00, mip_solve_time=0.0569
Solved n=50, m=300, budget=1, density=6.00, rep=39, flow_demand=1, objective=33.00, mip_solve_time=0.0564
Solved n=50, m=300, budget=1, density=6.00, rep=40, flow_demand=1, objective=29.00, mip_solve_time=0.0595
Solved n=50, m=300, budget=1, density=6.00, rep=41, flow_demand=1, objective=66.00, mip_solve_time=0.0571
Solved n=50, m=300, budget=1, density=6.00, rep=42, flow_demand=1, objective=27.00, mip_solve_time=0.0593
Solved n=50, m=300, budget=1, density=6.00, rep=43, flow_demand=1, objective=29.00, mip_solve_time=0.0586
Solved n=50, m=300, budget=1, density=6.00, rep=44, flow_demand=1, objective=39.00, mip_solve_time=0.0932
Solved n=50, m=300, budget=1, density=6.00, rep=45, flow_demand=1, objective=38.00, mip_solve_time=0.0564
Solved n=50, m=300, budget=1, density=6.00, rep=46, flow_demand=1, objective=55.00, mip_solve_time=0.0573
Solved n=50, m=300, budget=1, density=6.00, rep=47, flow_demand=1, objective=41.00, mip_solve_time=0.0555
Solved n=50, m=300, budget=1, density=6.00, rep=48, flow_demand=1, objective=34.00, mip_solve_time=0.0572
Solved n=50, m=300, budget=1, density=6.00, rep=49, flow_demand=1, objective=40.00, mip_solve_time=0.0564
Solved n=75, m=188, budget=1, density=2.51, rep=3, flow_demand=1, objective=46.00, mip_solve_time=0.0362
