node,lat,lon,supply
560,37.521,-77.2711,0
561,37.5487,-77.4329,0
562,37.5839,-77.4699,0
563,37.5866,-77.4743,0
564,37.588,-77.4699,0
565,37.597,-121.3401,0
566,37.6017,-97.3228,0
567,37.6097,-88.9946,0
568,37.6272,-122.4306,0
569,37.635999999999996,-122.4036,0
570,37.6555,-77.6055,0
571,37.6574,-77.4504,0
572,37.6908,-122.0877,0
573,37.69,-122.1368,0
574,37.7011,-121.9226,0
575,37.6767,-97.194,0
576,37.7301,-81.1959,0
577,37.7352,-122.4066,0
578,37.7427,-121.5615,0
579,34.0339,-118.22,0
580,37.7663,-121.3326,0
581,37.7969,-79.3938,0
582,37.8233,-92.1436,0
583,37.803000000000004,-122.2906,0
584,37.8276,-122.2913,0
585,37.8277,-122.2916,0
586,37.8276,-122.2914,0
587,37.830999999999996,-122.2933,0
588,37.8896,-122.3083,0
589,37.9362,-77.4704,0
590,37.9482,-121.3004,0
591,37.9622,-122.51,0
592,37.9945,-122.0698,0
593,38.0507,-122.1307,0
594,38.0554,-84.4301,0
595,38.0914,-122.2304,0
596,38.1147,-85.7014,0
597,38.1212,-79.0474,0
598,38.1149,-84.5209,0
599,38.1696,-87.4697,0
600,38.1902,-85.7291,0
601,38.2199,-122.133,0
602,38.2226,-85.5055,0
603,38.2377,-85.6232,0
604,38.2578,-85.7415,0
605,38.260999999999996,-85.7278,0
606,38.2709,-88.932,0
607,38.2741,-122.0489,0
608,38.2751,-85.8126,0
609,38.2887,-85.6461,0
610,38.3026,-85.8505,0
611,38.3149,-85.5816,0
612,38.3289,-88.9554,0
613,38.3456,-85.75399999999999,0
614,38.3587,-81.6321,0
615,38.3732,-121.9531,0
616,38.3734,-81.6064,0
617,38.4149,-96.2376,0
618,38.5034,-90.3387,0
619,38.5485,-90.4268,0
620,38.5683,-121.5108,0
621,38.5755,-121.5646,0
622,38.5773,-112.6032,0
623,38.6102,-90.2104,0
624,38.6187,-90.0684,0
625,38.6194,-90.1877,0
626,38.6202,-90.1891,0
627,38.6203,-90.1904,0
628,38.6249,-121.51700000000001,0
629,38.6297,-90.3438,0
630,38.6328,-90.146,0
631,38.633,-90.145,0
632,38.639,-90.4495,0
633,38.6435,-90.1892,0
634,38.6728,-90.0295,0
635,38.7289,-90.3325,0
636,38.7484,-90.4395,0
637,38.751999999999995,-89.9071,0
638,38.757,-90.0435,0
639,38.765,-104.7758,0
640,38.7764,-90.3445,0
641,38.7917,-77.1741,0
642,38.8063,-90.8392,0
643,38.8245,-104.7248,0
644,38.8466,-121.9383,0
645,38.8745,-97.6454,0
